<sentence_id=1>
8	sWApiwa	स्थापित	JJ	9	pof	16	kriyAmUla
9	karane	करने	VM	11	k2	16	verbalizer_B
10	kA	का	PSP	9	lwg__psp	-	-
11	AxeSa	आदेश	NN	12	pof	17	kriyAmUla
12	xiyA	दिया	VM	0	main	17	verbalizer_B
13	.	।	SYM	12	rsym	-	-
14	[ne_1]	org_1	-	-	-	-	-
15	[ne_2]	loc_1	-	-	-	-	-
16	[cp_1]	[cp_1]	-	-	-	-	-
17	[cp_2]	[cp_2]	-	-	-	-	-
</sentence_id>


<sentence_id=8>
1	nAsA	नासा	NNP	7	k1	9	begin
2	ne	ने	PSP	1	lwg__psp	-	-
3	maMgala	मंगल	NNP	4	nmod__adj	10	begin
4	graha	ग्रह	NN	7	k7p	-	-
5	para	पर	PSP	4	lwg__psp	-	-
6	yAna	यान	NN	7	k2	-	-
7	BejA	भेजा	VM	0	main	-	-
8	.	।	SYM	7	rsym	-	-
9	[ne_1]	org_1	-	-	-	-	-
10	[ne_2]	loc_1	-	-	-	-	-
</sentence_id>


<sentence_id=9>
1	yaha	यह	PRP	11	k1	-	-
2	mAnava	मानव	NNC	4	pof__cn	14	mod
3	prakqwi	प्रकृति	NNC	4	pof__cn	15	mod
4	saMbaMXa	संबंध	NN	6	r6	15	head
5	kI	की	PSP	4	lwg__psp	-	-
6	guNavawwA	गुणवत्ता	NN	8	r6	-	-
7	ke	के	PSP	6	lwg__psp	-	-
8	nihiwArWa	निहितार्थ	NN	10	k2	-	-
9	kA	का	PSP	8	lwg__psp	-	-
10	aXyayana	अध्ययन	NN	11	pof	16	kriyAmUla
11	karawA	करता	VM	0	main	16	verbalizer_B
12	hE	है	VAUX	11	lwg__vaux	16	verbalizer_I
13	.	।	SYM	11	rsym	-	-
14	[nc_1]	[nc_1]	-	-	-	-	-
15	[nc_2]	[nc_2]	-	-	-	-	-
16	[cp_1]	[cp_1]	-	-	-	-	-
</sentence_id>


<sentence_id=10>
1	rAma	राम	NNP	11	k1	13	begin
2	ne	ने	PSP	1	lwg__psp	-	-
3	10	10	QC	4	card	14	count
4	kilo	किलो	NN	8	rsp	14	unit
5	se	से	PSP	4	lwg__psp	-	-
6	lekara	लेकर	PSP	4	lwg__psp	-	-
7	20	20	QC	8	card	15	count
8	kilo	किलो	NN	11	k7t	15	unit
9	waka	तक	PSP	8	lwg__psp	-	-
10	vajana	वजन	NN	11	k2	-	-
11	uTAyA	उठाया	VM	0	main	-	-
12	.	।	SYM	11	rsym	-	-
13	[ne_1]	per_1	-	-	-	-	-
14	[meas_1]	[meas_1]	-	-	-	16	start
15	[meas_2]	[meas_2]	-	-	-	16	end
16	[span_1]	[span_1]	-	-	-	-	-
</sentence_id>


<sentence_id=11>
1	rAma	राम	NNP	12	k1	14	begin
2	4	4	NNPC	3	pof__cn	18	component_of
3	janavarI	जनवरी	NNP	12	k7t	18	component_of
4	ko	को	PSP	3	lwg__psp	-	-
5	xillI	दिल्ली	NNP	8	r6	15	begin
6	ke	के	PSP	5	lwg__psp	-	-
7	kuwuba	कुतुब	NNPC	8	pof__cn	16	begin
8	mInAra	मीनार	NNP	12	k7p	16	inside
9	para	पर	PSP	8	lwg__psp	-	-
10	100	100	QC	11	card	-	-
11	maMjileM	मंजिलें	NN	12	k1	-	-
12	caDZA	चढ़ा	VM	0	main	-	-
13	.	।	SYM	12	rsym	-	-
14	[ne_1]	per_1	-	-	-	-	-
15	[ne_2]	loc_1	-	-	-	19	whole
16	[ne_3]	loc_2	-	-	-	19	part
17	[ne_3]	[ne_3]	-	-	-	-	-
18	[calendar_1]	[calendar_1]	-	-	-	-	-
19	[spatial_1]	[spatial_1]	-	-	-	-	-
</sentence_id>


<sentence_id=12>
1	mahAmArI	महामारी	NN	9	rh	-	-
2	ke	के	PSP	1	lwg__psp	-	-
3	kAraNa	कारण	PSP	1	lwg__psp	-	-
4	bahuwa	बहुत	QF	5	quant	-	-
5	logo	लोगो	NN	8	k1	-	-
6	kI	की	PSP	5	lwg__psp	-	-
7	akAla	अकाल	NNC	8	pof__cn	12	mod
8	mqwyu	मृत्यु	NN	9	pof	12	head
9	huI	हुई	VM	0	main	13	verbalizer_B
10	hE	है	VAUX	9	lwg__vaux	13	verbalizer_I
11	.	।	SYM	9	rsym	-	-
12	[nc_1]	[nc_1]	-	-	-	13	kriyAmUla
13	[cp_1]	[cp_1]	-	-	-	-	-
</sentence_id>


<sentence_id=13>
1	hamArA	हमारा	PRP	2	r6	-	-
2	xeSa	देश	NN	8	k1	-	-
3	15	15	NNPC	5	pof__cn	13	component_of
4	agaswa	अगस्त	NNPC	5	pof__cn	13	component_of
5	1947	1947	NNP	8	k7t	13	component_of
6	meM	में	PSP	5	lwg__psp	-	-
7	AjZAxa	आज़ाद	JJ	8	pof	12	kriyAmUla
8	huA	हुआ	VM	0	main	12	verbalizer_B
9	.	।	SYM	8	rsym	-	-
10	[ne_0]	[ne_0]	-	-	-	-	-
11	[ne_1]	[ne_1]	-	-	-	-	-
12	[cp_1]	[cp_1]	-	-	-	-	-
13	[calendar_1]	[calendar_1]	-	-	-	-	-
</sentence_id>


<sentence_id=14>
1	rAma	राम	NNP	12	k1	14	begin
2	4	4	NNPC	3	pof__cn	19	component_of
3	janavarI	जनवरी	NNP	12	k7t	19	component_of
4	ko	को	PSP	3	lwg__psp	-	-
5	xillI	दिल्ली	NNP	8	r6	15	begin
6	ke	के	PSP	5	lwg__psp	-	-
7	kuwuba	कुतुब	NNPC	8	pof__cn	16	begin
8	mInAra	मीनार	NNP	12	k7p	16	inside
9	para	पर	PSP	8	lwg__psp	-	-
10	100	100	QC	11	card	18	count
11	sIDZiyAz	सीढ़ियाँ	NN	12	k2	18	unit
12	caDZA	चढ़ा	VM	0	main	-	-
13	.	।	SYM	12	rsym	-	-
14	[ne_1]	per_1	-	-	-	-	-
15	[ne_2]	loc_1	-	-	-	20	whole
16	[ne_3]	loc_2	-	-	-	20	part
17	[ne_3]	[ne_3]	-	-	-	-	-
18	[meas_1]	[meas_1]	-	-	-	-	-
19	[calendar_1]	[calendar_1]	-	-	-	-	-
20	[spatial_1]	[spatial_1]	-	-	-	-	-
</sentence_id>


<sentence_id=15>
1	rAma	राम	NNPC	2	pof__cn	9	begin
2	mohana	मोहन	NNP	6	k2	9	inside
3	ko	को	PSP	2	lwg__psp	-	-
4	relave	रेलवे	NNC	5	pof__cn	10	mod
5	steSana	स्टेशन	NN	6	k7p	10	head
6	CodZane	छोड़ने	VM	0	main	-	-
7	gayA	गया	VAUX	6	lwg__vaux	-	-
8	.	।	SYM	6	rsym	-	-
9	[ne_1]	per_1	-	-	-	-	-
10	[nc_1]	[nc_1]	-	-	-	-	-
</sentence_id>


<sentence_id=16>
1	rAma	राम	NNP	10	k1	12	begin
2	ne	ने	PSP	1	lwg__psp	-	-
3	apane	अपने	PRP	4	r6	-	-
4	guru	गुरु	NN	6	k2	-	-
5	ko	को	PSP	4	lwg__psp	-	-
6	xeKa	देख	VM	10	rpk	-	-
7	kara	कर	VAUX	6	lwg__vaux	-	-
8	unheM	उन्हें	PRP	10	k2	-	-
9	praNAma	प्रणाम	NN	10	pof	13	kriyAmUla
10	kiyA	किया	VM	0	main	13	verbalizer_B
11	.	।	SYM	10	rsym	-	-
12	[ne_1]	per_1	-	-	-	-	-
13	[cp_1]	[cp_1]	-	-	-	-	-
</sentence_id>


<sentence_id=17>
1	mohana	मोहन	NNP	6	k1	8	begin
2	ne	ने	PSP	1	lwg__psp	-	-
3	10	10	QC	4	card	9	count
4	kilo	किलो	NN	5	mod	9	unit
5	cAvala	चावल	NN	6	k2	-	-
6	KarIxe	खरीदे	VM	0	main	-	-
7	.	।	SYM	6	rsym	-	-
8	[ne_1]	per_1	-	-	-	-	-
9	[meas_1]	[meas_1]	-	-	-	-	-
</sentence_id>


<sentence_id=18>
1	15	15	NNPC	3	pof__cn	13	component_of
2	agaswa	अगस्त	NNPC	3	pof__cn	13	component_of
3	1947	1947	NNP	8	k7t	13	component_of
4	ko	को	PSP	3	lwg__psp	-	-
5	hamArA	हमारा	PRP	6	r6	-	-
6	xeSa	देश	NN	8	k1	-	-
7	AjAxa	आजाद	JJ	8	k1s	-	-
8	huA	हुआ	VM	0	main	-	-
9	WA	था	VAUX	8	lwg__vaux	-	-
10	.	।	SYM	8	rsym	-	-
11	[ne_0]	[ne_0]	-	-	-	-	-
12	[ne_1]	[ne_1]	-	-	-	-	-
13	[calendar_1]	[calendar_1]	-	-	-	-	-
</sentence_id>


<sentence_id=19>
1	merA	मेरा	PRP	2	r6	-	-
2	janmaxina	जन्मदिन	NN	6	k1	-	-
3	21	21	NNPC	4	pof__cn	9	component_of
4	agaswa	अगस्त	NNP	6	k7t	9	component_of
5	ko	को	PSP	4	lwg__psp	-	-
6	hE	है	VM	0	main	-	-
7	.	।	SYM	6	rsym	-	-
8	[ne_0]	[ne_0]	-	-	-	-	-
9	[calendar_1]	[calendar_1]	-	-	-	-	-
</sentence_id>


<sentence_id=20>
1	rAma	राम	NNP	7	k1	9	begin
2	xillI	दिल्ली	NNP	7	k7p	10	begin
3	meM	में	PSP	2	lwg__psp	-	-
4	kuwuba	कुतुब	NNPC	5	pof__cn	11	begin
5	mInAra	मीनार	NNP	7	k7p	11	inside
6	para	पर	PSP	5	lwg__psp	-	-
7	caDZA	चढ़ा	VM	0	main	-	-
8	.	।	SYM	7	rsym	-	-
9	[ne_1]	per_1	-	-	-	-	-
10	[ne_2]	loc_1	-	-	-	12	whole
11	[ne_3]	loc_2	-	-	-	12	part
12	[spatial_1]	[spatial_1]	-	-	-	-	-
</sentence_id>


<sentence_id=21>
1	rAma	राम	NNP	7	k1	9	begin
2	xillI	दिल्ली	NNP	5	r6	10	begin
3	ke	के	PSP	2	lwg__psp	-	-
4	kuwuba	कुतुब	NNPC	5	pof__cn	11	begin
5	mInAra	मीनार	NNP	7	k7p	11	inside
6	para	पर	PSP	5	lwg__psp	-	-
7	caDZA	चढ़ा	VM	0	main	-	-
8	.	।	SYM	7	rsym	-	-
9	[ne_1]	per_1	-	-	-	-	-
10	[ne_2]	loc_1	-	-	-	12	whole
11	[ne_3]	loc_2	-	-	-	12	part
12	[spatial_1]	[spatial_1]	-	-	-	-	-
</sentence_id>


<sentence_id=22>
1	rojZa	रोज़	NN	5	k7t	-	-
2	4	4	QC	3	card	8	count
3	lItara	लीटर	NN	4	mod	8	unit
4	pAnI	पानी	NN	5	k2	-	-
5	pInA	पीना	VM	0	main	-	-
6	cAhie	चाहिए	VAUX	5	lwg__vaux	-	-
7	.	।	SYM	5	rsym	-	-
8	[meas_1]	[meas_1]	-	-	-	-	-
</sentence_id>


<sentence_id=23>
1	rAma	राम	NNP	5	k1	7	begin
2	5	5	QC	3	card	8	count
3	kilo	किलो	NN	4	mod	8	unit
4	AlU	आलू	NN	5	k2	-	-
5	lAyA	लाया	VM	0	main	-	-
6	.	।	SYM	5	rsym	-	-
7	[ne_1]	per_1	-	-	-	-	-
8	[meas_1]	[meas_1]	-	-	-	-	-
</sentence_id>


<sentence_id=24>
1	rAma	राम	NNP	12	k1	20	begin
2	Ora	और	CC	12	k1	-	-
3	mohana	मोहन	NNPC	4	pof__cn	21	begin
4	lAla	लाल	NNP	12	k1	21	inside
5	BArawa	भारत	NNPC	6	pof__cn	22	begin
6	sevASrama	सेवाश्रम	NNP	12	k7p	22	inside
7	meM	में	PSP	6	lwg__psp	-	-
8	subaha	सुबह	NN	12	k7t	25	start
9	se	से	PSP	8	lwg__psp	-	-
10	SAma	शाम	NN	12	k7t	25	end
11	waka	तक	PSP	10	lwg__psp	-	-
12	nAcawe	नाचते	VM	18	rsk	-	-
13	hue	हुए	VAUX	12	lwg__vaux	-	-
14	mAwA	माता	NNPC	15	pof__cn	23	begin
15	xevI	देवी	NNP	17	k2	23	inside
16	kA	का	PSP	15	lwg__psp	-	-
17	Bajana	भजन	NN	18	pof	24	kriyAmUla
18	kiyA	किया	VM	0	main	24	verbalizer_B
19	.	।	SYM	18	rsym	-	-
20	[ne_1]	per_1	-	-	-	26	op1
21	[ne_2]	per_2	-	-	-	26	op2
22	[ne_3]	loc_1	-	-	-	-	-
23	[ne_4]	per_3	-	-	-	-	-
24	[cp_1]	[cp_1]	-	-	-	-	-
25	[span_1]	[span_1]	-	-	-	-	-
26	[conj_1]	[conj_1]	-	-	-	-	-
</sentence_id>


<sentence_id=25>
1	yaha	यह	PRP	18	k1	-	-
2	prakqwi	प्रकृति	NNC	3	pof__cn	21	mod
3	saMbaMXa	संबंध	NN	10	ccof	21	head
4	Ora	और	CC	10	ccof	-	-
5	mAnava	मानव	NNPC	7	pof__cn	22	begin
6	prakqwi	प्रकृति	NNC	7	pof__cn	23	mod
7	saMbaMXa	संबंध	NN	9	r6	23	head
8	kI	की	PSP	7	lwg__psp	-	-
9	guNavawwA	गुणवत्ता	NN	10	ccof	25	op2
10	Ora	और	CC	15	r6	-	-
11	isake	इसके	PRP	13	r6	-	-
12	mAnavIya	मानवीय	JJ	13	mod	-	-
13	kalyANa	कल्याण	NN	10	ccof	25	op3
14	ke	के	PSP	13	lwg__psp	-	-
15	nihiwArWa	निहितार्थ	NN	17	k2	-	-
16	kA	का	PSP	15	lwg__psp	-	-
17	aXyayana	अध्ययन	NN	18	pof	24	kriyAmUla
18	karawA	करता	VM	0	main	24	verbalizer_B
19	hE	है	VAUX	18	lwg__vaux	24	verbalizer_I
20	.	।	SYM	18	rsym	-	-
21	[nc_1]	[nc_1]	-	-	-	25	op1
22	[ne_0]	[ne_0]	-	-	-	-	-
23	[nc_2]	[nc_2]	-	-	-	-	-
24	[cp_1]	[cp_1]	-	-	-	-	-
25	[conj_1]	[conj_1]	-	-	-	-	-
</sentence_id>


<sentence_id=26>
1	rAma	राम	NNP	7	k1	9	begin
2	janavarI	जनवरी	NNP	4	rsp	10	start
3	se	से	PSP	2	lwg__psp	-	-
4	mArca	मार्च	NNP	7	k7t	10	end
5	waka	तक	PSP	4	lwg__psp	-	-
6	Gara	घर	NN	7	k2p	-	-
7	gayA	गया	VM	0	main	-	-
8	.	।	SYM	7	rsym	-	-
9	[ne_1]	per_1	-	-	-	-	-
10	[span_1]	[span_1]	-	-	-	-	-
</sentence_id>


<sentence_id=27>
1	mohana	मोहन	NNP	2	nmod__adj	14	begin
2	subaha	सुबह	NN	11	k7t	15	start
3	se	से	PSP	2	lwg__psp	-	-
4	xopahara	दोपहर	NN	11	k7t	15	end
5	waka	तक	PSP	4	lwg__psp	-	-
6	yA	या	CC	11	k7t	-	-
7	SAma	शाम	NN	11	k7t	16	start
8	se	से	PSP	7	lwg__psp	-	-
9	rAwa	रात	NN	11	k7t	16	end
10	waka	तक	PSP	9	lwg__psp	-	-
11	paDZA	पढ़ा	VM	0	main	-	-
12	WA	था	VAUX	11	lwg__vaux	-	-
13	.	।	SYM	11	rsym	-	-
14	[ne_1]	per_1	-	-	-	-	-
15	[span_1]	[span_1]	-	-	-	17	op1
16	[span_2]	[span_2]	-	-	-	17	op2
17	[disjunct_1]	[disjunct_1]	-	-	-	-	-
</sentence_id>

